pericardium	màng ngoài tim
cut edge	bờ cắt
vagus nerve	thần kinh phế vị
brachiocephalic	cánh tay đầu
vein	tĩnh mạch
right	phải
phrenic nerve	thần kinh hoành
subclavian	dưới đòn
artery	động mạch
thoracic	ngực
artery and vein	động mạch và tĩnh mạch
aorta	động mạch chủ
common carotid artery	động mạch cảnh chung
left	trái
internal jugular vein	tĩnh mạch cảnh trong
vagus nerve	thần kinh lang thang
ligamentum arteriosum	dây chằng động mạch
vena cava	tĩnh mạch chủ
superior	trên
laryngeal nerve	thần kinh thanh quản
recurrent	quặt ngược
pulmonary	động mạch phổi
trunk	thân
transverse pericardial sinus	xoang ngang màng ngoài tim
pulmonary vein	tĩnh mạch phổi
pulmonary	phổi
hilum	cuống
lung	phổi
mediastinal pleura	màng phổi trung thất
ventricle	tâm thất
auricle	tiểu nhĩ
inferior	dưới
conus arteriosus	nón động mạch
coronary sulcus	rãnh vành
coronary artery	động mạch vành
anterior interventricular sulcus	rãnh gian thất trước
interventricular	gian thất
anterior	trước
atrium	tâm nhĩ
phrenic arterie	động mạch hoành
esophagus	thực quản
suprarenal artery	động mạch thượng thận
mesenteric artery	động mạch mạc treo tràng
renal artery	động mạch thận
testicular	tinh hoàn
ovarian	buồng trứng
common hepatic	gan chung
gastric	vị
splenic	lách
psoas major muscle	cơ thắt lưng lớn
cut	cắt
quadratus lumborum muscle	cơ vuông thắt lưng
colic	kết tràng
subcostal artery	động mạch dưới sườn
lumbar artery	động mạch thắt lưng
rectal	trực tràng
iliac	chậu
sacral artery	động mạch cùng
median	giữa
Iliolumbar artery	động mạch chậu thắt lưng
gluteal artery	động mạch mông
external	ngoài
obturator artery	động mạch bịt
pudendal artery	động mạch thẹn
epigastric artery	động mạch thượng vị
femoral artery	Động mạch đùi
ductus deferens	ống dẫn tinh
transversalis fascia	mạc ngang
anterior abdominal wall	thành bụng trước
umbilical ligament	dây chằng rốn
diaphragm	cơ hoành
hepatic	gan
phrenic	hoành
anastomosis	vòng nối
suprarenal	thượng thận
lumbar	thắt lưng
Subcostal	dưới sườn
Internal	trong
ureter	niệu quản
vesical	bàng quang
Round ligament	dây chằng tròn
uterus	tử cung
Femoral vein	tĩnh mạch đùi
Uterovaginal venous plexus	đám rối tử cung âm đạo
saphenous vein	tĩnh mạch hiển
pudendal vein	tĩnh mạch thẹn
