proliferation	tăng sinh
microscope	kính hiển vi
temperature	nhiệt độ
can	có thể
diagnose	chẩn đoán
diabete	đái tháo đường
swelling	sưng
local inflammatory reaction	phản ứng viêm tại chỗ
osteocyte	tạo cốt bào
probiotic	probiotic
figure	hình
salivary	nước bọt
American Association of Endodontists	Hiệp Hội Nội Nha Hoa Kỳ
extracellular matrix	khuôn ngoại bào
biofilm	màng sinh học
mechanical preparation	sửa soạn cơ học
clinical point of view	quan điểm lâm sàng
regenerative endodontic	nội nha tái tạo
cell-free	không tế bào
X-ray	X-quang
point of view	quan điểm
colony forming unit	khuẩn lạc	colony forming unit
ecosystem	hệ sinh thái
polymicrobial	đa vi khuẩn
symbiotic relationship	mối quan hệ cộng sinh
virulence	độc lực
organisms	vi sinh vật
mechanical instrumentation	dụng cụ cơ học
promote healing	thúc đẩy lành thương
oral infectious lesion	tổn thương nhiễm trùng trong miệng
repair	sửa chữa
long-term use	sử dụng dài hạn
antimicrobial	kháng khuẩn
antibacterial	kháng khuẩn
minimal inhibitory	ức chế tối thiểu
after	sau khi
subculture	cấy truyền
bipolar	lưỡng cực
multipolar	đa cực
report	báo cáo
concluded that	kết luận rằng
curcumin	curcumin
the aim of this study	mục đích của nghiên cứu này
intracanal medicament	thuốc băng ống tuỷ
24-well plate	đĩa 24 giếng
in situ	in situ
minimum inhibitory concentration	nồng độ ức chế tối thiểu
96-well plate	đĩa 96 giếng
